freq earlylow earlyhighmidlow midhighlatelow latehigh design BNSoptimised
1.224699e+01 2.224090e-20 2.284511e-21 1.422649e-21 1.422021e-21 6.578149e-22 4.858791e-22 4.926518e-22
1.227523e+01 2.203702e-20 2.263649e-21 1.409637e-21 1.409010e-21 6.517860e-22 4.814374e-22 4.882002e-22
1.230354e+01 2.183500e-20 2.242979e-21 1.396745e-21 1.396118e-21 6.458134e-22 4.770376e-22 4.837962e-22
1.233191e+01 2.163485e-20 2.222499e-21 1.383972e-21 1.383345e-21 6.398964e-22 4.726794e-22 4.794385e-22
1.236035e+01 2.143652e-20 2.202206e-21 1.371316e-21 1.370690e-21 6.340346e-22 4.683624e-22 4.751120e-22
1.238885e+01 2.124002e-20 2.182100e-21 1.358777e-21 1.358151e-21 6.282274e-22 4.640862e-22 4.708316e-22
1.241742e+01 2.104532e-20 2.162179e-21 1.346353e-21 1.345728e-21 6.224744e-22 4.598505e-22 4.665972e-22
1.244605e+01 2.085240e-20 2.142441e-21 1.334043e-21 1.333418e-21 6.167751e-22 4.556548e-22 4.624068e-22
1.247476e+01 2.066125e-20 2.122884e-21 1.321847e-21 1.321223e-21 6.111290e-22 4.514988e-22 4.582476e-22
1.250352e+01 2.047186e-20 2.103506e-21 1.309763e-21 1.309139e-21 6.055355e-22 4.473822e-22 4.541170e-22
1.253236e+01 2.028420e-20 2.084307e-21 1.297790e-21 1.297167e-21 5.999942e-22 4.433045e-22 4.500444e-22
1.256125e+01 2.009827e-20 2.065283e-21 1.285928e-21 1.285305e-21 5.945047e-22 4.392655e-22 4.460025e-22
1.259022e+01 1.991404e-20 2.046435e-21 1.274175e-21 1.273552e-21 5.890665e-22 4.352648e-22 4.419882e-22
1.261925e+01 1.973150e-20 2.027760e-21 1.262530e-21 1.261908e-21 5.836791e-22 4.313020e-22 4.380303e-22
1.264835e+01 1.955063e-20 2.009256e-21 1.250992e-21 1.250370e-21 5.783420e-22 4.273768e-22 4.341012e-22
1.267752e+01 1.937142e-20 1.990922e-21 1.239560e-21 1.238939e-21 5.730548e-22 4.234889e-22 4.302002e-22
1.270676e+01 1.919386e-20 1.972757e-21 1.228234e-21 1.227613e-21 5.678170e-22 4.196380e-22 4.263538e-22
1.273606e+01 1.901792e-20 1.954758e-21 1.217012e-21 1.216392e-21 5.626282e-22 4.158236e-22 4.225345e-22
1.276543e+01 1.884360e-20 1.936925e-21 1.205893e-21 1.205273e-21 5.574880e-22 4.120455e-22 4.187436e-22
1.279486e+01 1.867088e-20 1.919256e-21 1.194877e-21 1.194258e-21 5.523959e-22 4.083034e-22 4.150046e-22
1.282437e+01 1.849974e-20 1.901749e-21 1.183962e-21 1.183343e-21 5.473515e-22 4.045969e-22 4.112939e-22
1.285394e+01 1.833017e-20 1.884402e-21 1.173148e-21 1.172530e-21 5.423543e-22 4.009258e-22 4.076089e-22
1.288358e+01 1.816215e-20 1.867216e-21 1.162434e-21 1.161816e-21 5.374040e-22 3.972897e-22 4.039760e-22
1.291329e+01 1.799568e-20 1.850187e-21 1.151818e-21 1.151201e-21 5.325001e-22 3.936884e-22 4.003689e-22
1.294307e+01 1.783073e-20 1.833314e-21 1.141300e-21 1.140683e-21 5.276422e-22 3.901214e-22 3.967995e-22
1.297292e+01 1.766730e-20 1.816597e-21 1.130879e-21 1.130263e-21 5.228299e-22 3.865887e-22 3.932569e-22
1.300283e+01 1.750536e-20 1.800033e-21 1.120554e-21 1.119938e-21 5.180629e-22 3.830897e-22 3.897511e-22
1.303282e+01 1.734491e-20 1.783622e-21 1.110324e-21 1.109709e-21 5.133406e-22 3.796243e-22 3.862830e-22
1.306287e+01 1.718593e-20 1.767361e-21 1.100189e-21 1.099574e-21 5.086628e-22 3.761922e-22 3.828512e-22
1.309300e+01 1.702841e-20 1.751249e-21 1.090147e-21 1.089533e-21 5.040290e-22 3.727931e-22 3.794456e-22
1.312319e+01 1.687233e-20 1.735286e-21 1.080198e-21 1.079584e-21 4.994388e-22 3.694267e-22 3.760743e-22
1.315345e+01 1.671769e-20 1.719470e-21 1.070340e-21 1.069727e-21 4.948919e-22 3.660927e-22 3.727296e-22
1.318378e+01 1.656447e-20 1.703799e-21 1.060573e-21 1.059961e-21 4.903879e-22 3.627910e-22 3.694300e-22
1.321418e+01 1.641264e-20 1.688272e-21 1.050897e-21 1.050285e-21 4.859264e-22 3.595211e-22 3.661547e-22
1.324466e+01 1.626222e-20 1.672887e-21 1.041310e-21 1.040698e-21 4.815072e-22 3.562830e-22 3.629147e-22
1.327520e+01 1.611317e-20 1.657645e-21 1.031811e-21 1.031200e-21 4.771297e-22 3.530762e-22 3.596982e-22
1.330581e+01 1.596548e-20 1.642542e-21 1.022400e-21 1.021790e-21 4.727936e-22 3.499006e-22 3.565159e-22
1.333649e+01 1.581916e-20 1.627578e-21 1.013076e-21 1.012466e-21 4.684987e-22 3.467560e-22 3.533676e-22
1.336725e+01 1.567417e-20 1.612752e-21 1.003838e-21 1.003229e-21 4.642445e-22 3.436420e-22 3.502432e-22
1.339807e+01 1.553051e-20 1.598062e-21 9.946858e-22 9.940772e-22 4.600308e-22 3.405585e-22 3.471617e-22
1.342897e+01 1.538818e-20 1.583508e-21 9.856179e-22 9.850099e-22 4.558571e-22 3.375052e-22 3.441041e-22
1.345994e+01 1.524714e-20 1.569087e-21 9.766339e-22 9.760265e-22 4.517233e-22 3.344819e-22 3.410684e-22
1.349098e+01 1.510740e-20 1.554799e-21 9.677329e-22 9.671261e-22 4.476288e-22 3.314885e-22 3.380754e-22
1.352209e+01 1.496895e-20 1.540642e-21 9.589143e-22 9.583082e-22 4.435735e-22 3.285245e-22 3.351043e-22
1.355327e+01 1.483176e-20 1.526616e-21 9.501774e-22 9.495718e-22 4.395570e-22 3.255900e-22 3.321660e-22
1.358452e+01 1.469583e-20 1.512719e-21 9.415213e-22 9.409164e-22 4.355790e-22 3.226846e-22 3.292500e-22
1.361585e+01 1.456115e-20 1.498950e-21 9.329454e-22 9.323411e-22 4.316393e-22 3.198081e-22 3.263647e-22
1.364725e+01 1.442770e-20 1.485307e-21 9.244490e-22 9.238453e-22 4.277374e-22 3.169605e-22 3.235119e-22
1.367872e+01 1.429548e-20 1.471790e-21 9.160313e-22 9.154283e-22 4.238731e-22 3.141414e-22 3.206896e-22
1.371026e+01 1.416446e-20 1.458398e-21 9.076918e-22 9.070894e-22 4.200463e-22 3.113507e-22 3.178976e-22
1.374188e+01 1.403465e-20 1.445129e-21 8.994296e-22 8.988279e-22 4.162564e-22 3.085882e-22 3.151271e-22
1.377356e+01 1.390604e-20 1.431983e-21 8.912441e-22 8.906431e-22 4.125034e-22 3.058539e-22 3.123880e-22
1.380533e+01 1.377860e-20 1.418957e-21 8.831347e-22 8.825343e-22 4.087869e-22 3.031474e-22 3.096698e-22
1.383716e+01 1.365233e-20 1.406052e-21 8.751007e-22 8.745010e-22 4.051067e-22 3.004687e-22 3.069902e-22
1.386907e+01 1.352721e-20 1.393265e-21 8.671413e-22 8.665423e-22 4.014625e-22 2.978176e-22 3.043315e-22
1.390105e+01 1.340325e-20 1.380597e-21 8.592561e-22 8.586578e-22 3.978541e-22 2.951940e-22 3.017030e-22
1.393311e+01 1.328042e-20 1.368045e-21 8.514444e-22 8.508468e-22 3.942813e-22 2.925978e-22 2.990954e-22
1.396524e+01 1.315872e-20 1.355610e-21 8.437054e-22 8.431085e-22 3.907438e-22 2.900288e-22 2.965170e-22
1.399744e+01 1.303813e-20 1.343289e-21 8.360387e-22 8.354425e-22 3.872413e-22 2.874869e-22 2.939677e-22
1.402972e+01 1.291865e-20 1.331082e-21 8.284436e-22 8.278481e-22 3.837738e-22 2.849720e-22 2.914475e-22
1.406207e+01 1.280027e-20 1.318987e-21 8.209194e-22 8.203247e-22 3.803410e-22 2.824841e-22 2.889561e-22
1.409450e+01 1.268297e-20 1.307005e-21 8.134657e-22 8.128717e-22 3.769427e-22 2.800230e-22 2.864850e-22
1.412700e+01 1.256675e-20 1.295133e-21 8.060818e-22 8.054885e-22 3.735787e-22 2.775887e-22 2.840429e-22
1.415958e+01 1.245160e-20 1.283371e-21 7.987671e-22 7.981746e-22 3.702489e-22 2.751812e-22 2.816296e-22
1.419223e+01 1.233750e-20 1.271718e-21 7.915211e-22 7.909294e-22 3.669531e-22 2.728003e-22 2.792368e-22
